Energy Usage Information,,
"Green Button Export: The data you have downloaded from the Green Button allows you to view your electricity usage by your interval length. This information can help you make money-saving and environmentally-friendly decisions. As you make changes, use Energy Charts to monitor how your energy use changes over time.
Data is Informational: Data presented in Energy Charts is for information only. Always refer to your bill for exact energy use and amount due.",,
For location:,"43 JEFFERSON ST, OLD TOWN, ME, 04468",
Data for period starting/ending:,4/10/2011,5/9/2012
Current billing period as of:,,
,,
Time period (start),Time period (end),Usage (KWH)
4/10/2011 0:00,4/10/2011 1:00,1.728
4/10/2011 1:00,4/10/2011 2:00,0.346
4/10/2011 2:00,4/10/2011 3:00,0.288
4/10/2011 3:00,4/10/2011 4:00,0.288
4/10/2011 4:00,4/10/2011 5:00,1.037
4/10/2011 5:00,4/10/2011 6:00,0.403
4/10/2011 6:00,4/10/2011 7:00,1.958
4/10/2011 7:00,4/10/2011 8:00,2.650
4/10/2011 8:00,4/10/2011 9:00,7.546
4/10/2011 9:00,4/10/2011 10:00,3.744
4/10/2011 10:00,4/10/2011 11:00,1.037
4/10/2011 11:00,4/10/2011 12:00,0.461
4/10/2011 12:00,4/10/2011 13:00,2.650
4/10/2011 13:00,4/10/2011 14:00,2.822
4/10/2011 14:00,4/10/2011 15:00,0.403
4/10/2011 15:00,4/10/2011 16:00,0.864
4/10/2011 16:00,4/10/2011 17:00,4.147
4/10/2011 17:00,4/10/2011 18:00,1.094
4/10/2011 18:00,4/10/2011 19:00,2.016
4/10/2011 19:00,4/10/2011 20:00,3.110
4/10/2011 20:00,4/10/2011 21:00,1.901
4/10/2011 21:00,4/10/2011 22:00,0.979
4/10/2011 22:00,4/10/2011 23:00,1.094
4/10/2011 23:00,4/11/2011 0:00,0.806
4/11/2011 0:00,4/11/2011 1:00,0.749
4/11/2011 1:00,4/11/2011 2:00,0.576
4/11/2011 2:00,4/11/2011 3:00,0.461
4/11/2011 3:00,4/11/2011 4:00,0.518
4/11/2011 4:00,4/11/2011 5:00,0.461
4/11/2011 5:00,4/11/2011 6:00,0.979
4/11/2011 6:00,4/11/2011 7:00,4.090
4/11/2011 7:00,4/11/2011 8:00,4.723
4/11/2011 8:00,4/11/2011 9:00,4.838
4/11/2011 9:00,4/11/2011 10:00,3.571
4/11/2011 10:00,4/11/2011 11:00,2.765
4/11/2011 11:00,4/11/2011 12:00,3.110
4/11/2011 12:00,4/11/2011 13:00,2.765
4/11/2011 13:00,4/11/2011 14:00,2.189
4/11/2011 14:00,4/11/2011 15:00,3.168
4/11/2011 15:00,4/11/2011 16:00,1.901
4/11/2011 16:00,4/11/2011 17:00,0.864
4/11/2011 17:00,4/11/2011 18:00,2.016
4/11/2011 18:00,4/11/2011 19:00,1.325
4/11/2011 19:00,4/11/2011 20:00,1.210
4/11/2011 20:00,4/11/2011 21:00,1.958
4/11/2011 21:00,4/11/2011 22:00,1.037
4/11/2011 22:00,4/11/2011 23:00,0.576
4/11/2011 23:00,4/12/2011 0:00,0.403
4/12/2011 0:00,4/12/2011 1:00,0.461
4/12/2011 1:00,4/12/2011 2:00,0.403
4/12/2011 2:00,4/12/2011 3:00,0.346
4/12/2011 3:00,4/12/2011 4:00,0.403
4/12/2011 4:00,4/12/2011 5:00,0.403
4/12/2011 5:00,4/12/2011 6:00,4.493
4/12/2011 6:00,4/12/2011 7:00,6.221
4/12/2011 7:00,4/12/2011 8:00,4.435
4/12/2011 8:00,4/12/2011 9:00,1.670
4/12/2011 9:00,4/12/2011 10:00,1.440
4/12/2011 10:00,4/12/2011 11:00,1.382
4/12/2011 11:00,4/12/2011 12:00,1.613
4/12/2011 12:00,4/12/2011 13:00,3.859
4/12/2011 13:00,4/12/2011 14:00,2.707
4/12/2011 14:00,4/12/2011 15:00,0.518
